index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/17 00:00:01.105, 139.67 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:00:01.106, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:01:01.108, 127.91 W, 73, 100 %, 9093 MiB
1, 2023/03/17 00:01:01.110, 1.19 W, 38, 1 %, 21 MiB
0, 2023/03/17 00:02:01.111, 162.41 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:02:01.112, 1.19 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:03:01.113, 142.48 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:03:01.116, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:04:01.117, 132.12 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:04:01.118, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:05:01.119, 136.59 W, 72, 96 %, 9093 MiB
1, 2023/03/17 00:05:01.120, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:06:01.122, 144.38 W, 73, 100 %, 9093 MiB
1, 2023/03/17 00:06:01.122, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:07:01.124, 138.52 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:07:01.125, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:08:01.127, 161.50 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:08:01.127, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:09:01.129, 143.82 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:09:01.130, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:10:01.131, 151.11 W, 72, 100 %, 9093 MiB
1, 2023/03/17 00:10:01.132, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:11:01.133, 138.39 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:11:01.134, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:12:01.135, 142.86 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:12:01.139, 1.31 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:13:01.140, 126.26 W, 73, 100 %, 9093 MiB
1, 2023/03/17 00:13:01.141, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:14:01.143, 162.92 W, 73, 100 %, 9093 MiB
1, 2023/03/17 00:14:01.143, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:15:01.145, 154.07 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:15:01.145, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:16:01.147, 160.61 W, 72, 100 %, 9093 MiB
1, 2023/03/17 00:16:01.148, 1.18 W, 39, 1 %, 21 MiB
0, 2023/03/17 00:17:01.149, 136.97 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:17:01.152, 1.18 W, 38, 1 %, 21 MiB
0, 2023/03/17 00:18:01.153, 137.80 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:18:01.154, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:19:01.155, 126.74 W, 72, 100 %, 9093 MiB
1, 2023/03/17 00:19:01.156, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:20:01.158, 157.94 W, 73, 100 %, 9093 MiB
1, 2023/03/17 00:20:01.158, 1.19 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:21:01.160, 160.03 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:21:01.161, 1.18 W, 39, 0 %, 21 MiB
0, 2023/03/17 00:22:01.163, 162.89 W, 72, 100 %, 9093 MiB
1, 2023/03/17 00:22:01.165, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:23:01.167, 137.95 W, 72, 99 %, 9093 MiB
1, 2023/03/17 00:23:01.167, 1.18 W, 38, 0 %, 21 MiB
0, 2023/03/17 00:24:01.169, 137.91 W, 73, 99 %, 9093 MiB
1, 2023/03/17 00:24:01.170, 1.18 W, 38, 0 %, 21 MiB
