index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/17 00:00:03.907, 41.28 W, 33, 36 %, 1450 MiB
0, 2023/03/17 00:01:03.910, 70.54 W, 35, 32 %, 1450 MiB
0, 2023/03/17 00:02:03.913, 79.29 W, 35, 40 %, 1450 MiB
0, 2023/03/17 00:03:03.915, 81.72 W, 37, 38 %, 1450 MiB
0, 2023/03/17 00:04:03.916, 83.99 W, 37, 34 %, 1450 MiB
0, 2023/03/17 00:05:03.919, 81.57 W, 37, 40 %, 1450 MiB
0, 2023/03/17 00:06:03.921, 93.38 W, 38, 34 %, 1450 MiB
0, 2023/03/17 00:07:03.922, 73.59 W, 37, 35 %, 1228 MiB
0, 2023/03/17 00:08:03.924, 43.51 W, 34, 10 %, 1309 MiB
0, 2023/03/17 00:09:03.927, 78.17 W, 36, 38 %, 1318 MiB
0, 2023/03/17 00:10:03.929, 83.44 W, 36, 24 %, 1322 MiB
0, 2023/03/17 00:11:03.931, 86.00 W, 37, 39 %, 1372 MiB
0, 2023/03/17 00:12:03.932, 76.64 W, 37, 0 %, 1372 MiB
0, 2023/03/17 00:13:03.934, 83.28 W, 37, 27 %, 1372 MiB
0, 2023/03/17 00:14:03.936, 111.16 W, 39, 31 %, 1372 MiB
0, 2023/03/17 00:15:03.938, 84.36 W, 38, 41 %, 1372 MiB
0, 2023/03/17 00:16:03.941, 84.22 W, 39, 36 %, 1372 MiB
0, 2023/03/17 00:17:03.942, 99.39 W, 39, 28 %, 1372 MiB
0, 2023/03/17 00:18:03.944, 86.42 W, 39, 38 %, 1372 MiB
0, 2023/03/17 00:19:03.946, 78.86 W, 38, 22 %, 1270 MiB
0, 2023/03/17 00:20:03.948, 75.94 W, 37, 34 %, 1270 MiB
0, 2023/03/17 00:21:03.950, 72.07 W, 37, 25 %, 1275 MiB
0, 2023/03/17 00:22:03.951, 71.68 W, 36, 21 %, 1307 MiB
0, 2023/03/17 00:23:03.954, 79.49 W, 36, 43 %, 1310 MiB
0, 2023/03/17 00:24:03.955, 75.84 W, 36, 33 %, 1321 MiB
0, 2023/03/17 00:25:03.957, 82.06 W, 37, 29 %, 1321 MiB
0, 2023/03/17 00:26:03.959, 69.52 W, 36, 37 %, 1321 MiB
0, 2023/03/17 00:27:03.960, 65.86 W, 36, 0 %, 1321 MiB
0, 2023/03/17 00:28:03.963, 65.21 W, 35, 29 %, 1321 MiB
0, 2023/03/17 00:29:03.964, 58.57 W, 34, 4 %, 1321 MiB
0, 2023/03/17 00:30:03.969, 69.97 W, 35, 39 %, 1321 MiB
0, 2023/03/17 00:31:03.971, 69.87 W, 35, 32 %, 1321 MiB
0, 2023/03/17 00:32:03.972, 65.21 W, 35, 11 %, 1321 MiB
0, 2023/03/17 00:33:03.975, 70.78 W, 35, 0 %, 1323 MiB
0, 2023/03/17 00:34:03.976, 69.41 W, 35, 4 %, 1323 MiB
0, 2023/03/17 00:35:03.981, 69.46 W, 35, 29 %, 1323 MiB
0, 2023/03/17 00:36:03.983, 64.06 W, 35, 32 %, 1323 MiB
0, 2023/03/17 00:37:03.984, 86.02 W, 36, 28 %, 1303 MiB
0, 2023/03/17 00:38:03.986, 74.55 W, 36, 29 %, 1307 MiB
0, 2023/03/17 00:39:03.988, 79.35 W, 36, 33 %, 1307 MiB
0, 2023/03/17 00:40:03.990, 78.76 W, 36, 22 %, 1307 MiB
0, 2023/03/17 00:41:03.992, 79.13 W, 37, 37 %, 1375 MiB
0, 2023/03/17 00:42:03.993, 84.19 W, 37, 27 %, 1403 MiB
0, 2023/03/17 00:43:03.995, 70.48 W, 36, 0 %, 1405 MiB
0, 2023/03/17 00:44:03.997, 71.79 W, 36, 36 %, 1425 MiB
